out_airline_company,in_airline_company,dep_city,arr_city,out_dep_date,out_dep_time,out_duration,out_stop_num,out_arr_date,out_arr_time,in_dep_date,in_dep_time,in_duration,in_stop_num,in_arr_date,in_arr_time,price_ticket,hour_scrap,day_scrap
Lufthansa,Lufthansa,BRU,JFK,Aug 1,1:15 PM,12h 50m,1 stop,Aug 1,8:05 PM,Aug 15,5:30 PM,16h 20m,1 stop,Aug 16,3:50 PM,"923,39 €",10,21
"Lufthansa, operated by Brussels Airlines",Lufthansa,BRU,JFK,Aug 1,9:35 AM,11h 25m,1 stop,Aug 1,3:00 PM,Aug 15,5:30 PM,10h 50m,1 stop,Aug 16,10:20 AM,"1 196,16 €",10,21
Lufthansa,Lufthansa,BRU,JFK,Aug 1,2:40 PM,11h 25m,1 stop,Aug 1,8:05 PM,Aug 15,5:30 PM,10h 50m,1 stop,Aug 16,10:20 AM,"1 198,39 €",10,21
Lufthansa,Lufthansa,BRU,JFK,Aug 1,8:50 AM,12h 10m,1 stop,Aug 1,3:00 PM,Aug 15,5:30 PM,10h 50m,1 stop,Aug 16,10:20 AM,"1 196,16 €",10,21
"Lufthansa, operated by Brussels Airlines",Lufthansa,BRU,JFK,Aug 1,9:35 AM,11h 25m,1 stop,Aug 1,3:00 PM,Aug 15,5:30 PM,16h 20m,1 stop,Aug 16,3:50 PM,"1 198,39 €",10,21
Lufthansa,Lufthansa,BRU,JFK,Aug 1,2:40 PM,11h 25m,1 stop,Aug 1,8:05 PM,Aug 15,5:30 PM,16h 20m,1 stop,Aug 16,3:50 PM,"1 073,39 €",10,21
Lufthansa,Lufthansa,BRU,JFK,Aug 1,8:15 AM,11h 30m,1 stop,Aug 1,1:45 PM,Aug 15,5:30 PM,16h 20m,1 stop,Aug 16,3:50 PM,"1 073,39 €",10,21
Lufthansa,Lufthansa,BRU,JFK,Aug 1,8:50 AM,12h 10m,1 stop,Aug 1,3:00 PM,Aug 15,5:30 PM,16h 20m,1 stop,Aug 16,3:50 PM,"1 071,16 €",10,21
"Lufthansa, operated by Brussels Airlines",Lufthansa,BRU,JFK,Aug 1,9:35 AM,11h 25m,1 stop,Aug 1,3:00 PM,Aug 15,5:30 PM,13h 30m,1 stop,Aug 16,1:00 PM,"1 196,16 €",10,21
Lufthansa,Lufthansa,BRU,JFK,Aug 1,8:50 AM,12h 10m,1 stop,Aug 1,3:00 PM,Aug 15,5:30 PM,13h 30m,1 stop,Aug 16,1:00 PM,"1 196,16 €",10,21
"Lufthansa, operated by Brussels Airlines",Lufthansa,BRU,JFK,Aug 1,9:35 AM,11h 25m,1 stop,Aug 1,3:00 PM,Aug 15,5:30 PM,17h 40m,1 stop,Aug 16,5:10 PM,"1 096,16 €",10,21
Lufthansa,Lufthansa,BRU,JFK,Aug 1,2:40 PM,11h 25m,1 stop,Aug 1,8:05 PM,Aug 15,5:30 PM,17h 40m,1 stop,Aug 16,5:10 PM,"1 098,39 €",10,21
Lufthansa,Lufthansa,BRU,JFK,Aug 1,8:15 AM,11h 30m,1 stop,Aug 1,1:45 PM,Aug 15,5:30 PM,17h 40m,1 stop,Aug 16,5:10 PM,"1 098,39 €",10,21
Swiss,Swiss,BRU,JFK,Aug 1,9:15 AM,11h 10m,1 stop,Aug 1,2:25 PM,Aug 15,4:30 PM,10h 15m,1 stop,Aug 16,8:45 AM,"811,77 €",10,21
Swiss,Swiss,BRU,JFK,Aug 1,9:15 AM,11h 10m,1 stop,Aug 1,2:25 PM,Aug 15,8:55 PM,11h 20m,1 stop,Aug 16,2:15 PM,"833,72 €",10,21
