out_airline_company,in_airline_company,dep_city,arr_city,out_dep_date,out_dep_time,out_duration,out_stop_num,out_arr_date,out_arr_time,in_dep_date,in_dep_time,in_duration,in_stop_num,in_arr_date,in_arr_time,price_ticket,hour_scrap,day_scrap
KLM,"LATAM, operated by Latam Airlines Brasil",BRU,GRU,Aug 1,10:25 AM,14h 25m,1 stop,Aug 1,7:50 PM,Aug 15,11:15 PM,15h 35m,1 stop,Aug 16,7:50 PM,"1 666,60 €",16,23
KLM,KLM,BRU,GRU,Aug 1,10:25 AM,14h 25m,1 stop,Aug 1,7:50 PM,Aug 15,9:45 PM,19h 35m,1 stop,Aug 16,10:20 PM,"1 570,73 €",16,23
KLM,TAP Portugal,BRU,GRU,Aug 1,10:25 AM,14h 25m,1 stop,Aug 1,7:50 PM,Aug 15,12:40 AM,14h 20m,1 stop,Aug 15,8:00 PM,"1 784,05 €",16,23
KLM,TAP Portugal,BRU,GRU,Aug 1,10:25 AM,14h 25m,1 stop,Aug 1,7:50 PM,Aug 15,3:30 PM,14h 30m,1 stop,Aug 16,11:00 AM,"1 784,05 €",16,23
Swiss,Swiss,BRU,GRU,Aug 1,8:15 PM,14h 10m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,14h 30m,1 stop,Aug 16,2:15 PM,"1 800,01 €",16,23
Iberia,Iberia,BRU,GRU,Aug 1,7:40 PM,15h 10m,1 stop,Aug 2,5:50 AM,Aug 15,2:20 PM,16h 05m,1 stop,Aug 16,11:25 AM,"1 710,69 €",16,23
Iberia,"LATAM, operated by Latam Airlines Brasil",BRU,GRU,Aug 1,7:40 PM,14h 15m,1 stop,Aug 2,4:55 AM,Aug 15,11:50 PM,14h 30m,1 stop,Aug 16,7:20 PM,"1 824,00 €",16,23
"LATAM, operated by Iberia For Latam Airlines Group","LATAM, operated by Latam Airlines Brasil",BRU,GRU,Aug 1,7:40 PM,14h 15m,1 stop,Aug 2,4:55 AM,Aug 15,11:50 PM,14h 30m,1 stop,Aug 16,7:20 PM,"1 835,11 €",16,23
Iberia,"LATAM, operated by Iberia For Latam Airlines Group",BRU,GRU,Aug 1,7:40 PM,14h 15m,1 stop,Aug 2,4:55 AM,Aug 15,2:20 PM,16h 05m,1 stop,Aug 16,11:25 AM,"1 772,02 €",16,23
"LATAM, operated by Iberia For Latam Airlines Group","LATAM, operated by Iberia For Latam Airlines Group",BRU,GRU,Aug 1,7:40 PM,14h 15m,1 stop,Aug 2,4:55 AM,Aug 15,2:20 PM,16h 05m,1 stop,Aug 16,11:25 AM,"1 783,13 €",16,23
