out_airline_company,in_airline_company,dep_city,arr_city,out_dep_date,out_dep_time,out_duration,out_stop_num,out_arr_date,out_arr_time,in_dep_date,in_dep_time,in_duration,in_stop_num,in_arr_date,in_arr_time,price_ticket,hour_scrap,day_scrap
Swiss,Swiss,BRU,GRU,Aug 1,8:15 PM,14h 10m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,14h 30m,1 stop,Aug 16,2:15 PM,"1 799,79 €",20,29
Swiss,Swiss,BRU,GRU,Aug 1,8:15 PM,14h 10m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,19h 45m,1 stop,Aug 16,7:30 PM,"1 799,79 €",20,29
"Swiss, operated by Air Baltic Corporation",Swiss,BRU,GRU,Aug 1,3:00 PM,19h 25m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,14h 30m,1 stop,Aug 16,2:15 PM,"1 799,79 €",20,29
"Swiss, operated by Air Baltic Corporation",Swiss,BRU,GRU,Aug 1,3:00 PM,19h 25m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,19h 45m,1 stop,Aug 16,7:30 PM,"1 799,79 €",20,29
Swiss,Swiss,BRU,GRU,Aug 1,9:45 AM,24h 40m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,14h 30m,1 stop,Aug 16,2:15 PM,"1 799,79 €",20,29
"Swiss, operated by Brussels Airlines",Swiss,BRU,GRU,Aug 1,3:00 PM,19h 25m,2 stops,Aug 2,5:25 AM,Aug 15,6:45 PM,14h 30m,1 stop,Aug 16,2:15 PM,"1 799,79 €",20,29
Swiss,Swiss,BRU,GRU,Aug 1,8:15 PM,14h 10m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,18h 40m,2 stops,Aug 16,6:25 PM,"1 799,79 €",20,29
Swiss,Swiss,BRU,GRU,Aug 1,9:45 AM,24h 40m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,19h 45m,1 stop,Aug 16,7:30 PM,"2 094,57 €",20,29
"Swiss, operated by Brussels Airlines",Swiss,BRU,GRU,Aug 1,3:00 PM,19h 25m,2 stops,Aug 2,5:25 AM,Aug 15,6:45 PM,19h 45m,1 stop,Aug 16,7:30 PM,"1 944,57 €",20,29
Swiss,Swiss,BRU,GRU,Aug 1,9:15 AM,25h 10m,2 stops,Aug 2,5:25 AM,Aug 15,6:45 PM,14h 30m,1 stop,Aug 16,2:15 PM,"1 799,79 €",20,29
Swiss,Swiss,BRU,GRU,Aug 1,9:15 AM,25h 10m,2 stops,Aug 2,5:25 AM,Aug 15,6:45 PM,14h 30m,1 stop,Aug 16,2:15 PM,"1 944,57 €",20,29
Swiss,Swiss,BRU,GRU,Aug 1,8:15 PM,14h 10m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,33h 00m,1 stop,Aug 17,8:45 AM,"1 799,79 €",20,29
Swiss,Swiss,BRU,GRU,Aug 1,8:15 PM,14h 10m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,22h 45m,2 stops,Aug 16,10:30 PM,"2 094,57 €",20,29
Swiss,Swiss,BRU,GRU,Aug 1,8:15 PM,14h 10m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,22h 45m,2 stops,Aug 16,10:30 PM,"2 094,57 €",20,29
"Swiss, operated by Air Baltic",Swiss,BRU,GRU,Aug 1,3:00 PM,19h 25m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,18h 40m,2 stops,Aug 16,6:25 PM,"2 094,57 €",20,29
"Swiss, operated by Brussels Airlines",Swiss,BRU,GRU,Aug 1,6:55 AM,27h 30m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,14h 30m,1 stop,Aug 16,2:15 PM,"2 094,57 €",20,29
"Swiss, operated by Air Baltic Corporation",Swiss,BRU,GRU,Aug 1,3:00 PM,19h 25m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,33h 00m,1 stop,Aug 17,8:45 AM,"1 799,79 €",20,29
Swiss,Swiss,BRU,GRU,Aug 1,9:15 AM,25h 10m,2 stops,Aug 2,5:25 AM,Aug 15,6:45 PM,19h 45m,1 stop,Aug 16,7:30 PM,"2 049,08 €",20,29
Swiss,Swiss,BRU,GRU,Aug 1,9:15 AM,25h 10m,2 stops,Aug 2,5:25 AM,Aug 15,6:45 PM,19h 45m,1 stop,Aug 16,7:30 PM,"1 944,57 €",20,29
"Swiss, operated by Air Baltic Corporation",Swiss,BRU,GRU,Aug 1,3:00 PM,19h 25m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,34h 30m,1 stop,Aug 17,10:15 AM,"1 944,57 €",20,29
"Swiss, operated by Brussels Airlines",Swiss,BRU,GRU,Aug 1,3:00 PM,19h 25m,2 stops,Aug 2,5:25 AM,Aug 15,6:45 PM,18h 40m,2 stops,Aug 16,6:25 PM,"2 120,51 €",20,29
"Swiss, operated by Air Baltic",Swiss,BRU,GRU,Aug 1,3:00 PM,19h 25m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,22h 45m,2 stops,Aug 16,10:30 PM,"2 120,51 €",20,29
"Swiss, operated by Air Baltic",Swiss,BRU,GRU,Aug 1,3:00 PM,19h 25m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,22h 45m,2 stops,Aug 16,10:30 PM,"2 094,57 €",20,29
"Swiss, operated by Brussels Airlines",Swiss,BRU,GRU,Aug 1,6:55 AM,27h 30m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,19h 45m,1 stop,Aug 16,7:30 PM,"2 094,57 €",20,29
Swiss,Swiss,BRU,GRU,Aug 1,9:45 AM,24h 40m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,18h 40m,2 stops,Aug 16,6:25 PM,"2 094,57 €",20,29
Swiss,Swiss,BRU,GRU,Aug 1,9:45 AM,24h 40m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,33h 00m,1 stop,Aug 17,8:45 AM,"2 094,57 €",20,29
Swiss,Swiss,BRU,GRU,Aug 1,9:45 AM,24h 40m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,34h 30m,1 stop,Aug 17,10:15 AM,"1 799,79 €",20,29
"Swiss, operated by Brussels Airlines",Swiss,BRU,GRU,Aug 1,6:55 AM,27h 30m,1 stop,Aug 2,5:25 AM,Aug 15,6:45 PM,33h 00m,1 stop,Aug 17,8:45 AM,"1 799,79 €",20,29
